id;name;firstName;genre;birthDate;countryOrigin;GUEST_ANIMAL_ALLERGY;HOST_HAS_ANIMAL;GUEST_FOOD;HOST_FOOD;HOBBIES;PAIR_GENDER;HISTORY
17;Théo;Masson;male;04/05/2006;Luxembourg;no;no;;;basketball,films;female;same
1;Ethan;Seulin;male;15/01/2006;France;no;no;;;videogames,films;female;same
16;Lola;Philippe;female;07/12/2005;France;no;yes;;nonuts;music,traveling;male;same
5;Nathan;Bernard;male;18/07/2006;Canada;yes;yes;vegetarian,nonuts;vegetarian,nonuts;gaming,coding;female;same
20;Maëlys;Chevalier;female;19/02/2006;France;no;no;nonuts;nonuts;art,dancing;male;same
3;Lucas;Moreau;male;10/03/2006;Belgium;no;yes;;nonuts;sports,cinema;female;same
14;Zoé;Blanc;female;28/01/2006;France;no;no;;;reading,dancing;male;same
12;Inès;Durand;female;02/10/2005;Switzerland;yes;yes;vegetarian;;drawing,cooking;male;same
10;Léa;Roux;female;11/01/2006;Switzerland;no;yes;vegetarian;vegetarian;volleyball,music;male;same
2;Alice;Dupont;female;22/08/2005;France;yes;no;vegetarian;vegetarian;reading,drawing;male;same
